Entity,Code,Year,Share of the population using the Internet
Gibraltar,GIB,2016,94.4445
Greece,GRC,2016,69.0879
Greenland,GRL,2016,68.5009
Grenada,GRD,2016,53.3
Guam,GUM,2016,77.01
Guatemala,GTM,2016,34.5093
Guinea,GIN,2016,13.1
Guinea-Bissau,GNB,2016,13.8
Guyana,GUY,2016,35.66
Haiti,HTI,2016,22.8
High-income countries,OWID_HIC,2016,82.5
Honduras,HND,2016,29.5282
Hong Kong,HKG,2016,87.4794
Hungary,HUN,2016,79.2594
Iceland,ISL,2016,98.24
India,IND,2016,16.5
Indonesia,IDN,2016,25.4474
Iran,IRN,2016,53.2268
Iraq,IRQ,2016,19.9
Ireland,IRL,2016,83.5
Israel,ISR,2016,79.6531
Italy,ITA,2016,61.3243
Jamaica,JAM,2016,44.3669
Japan,JPN,2016,93.1827
Jordan,JOR,2016,56.15
Kazakhstan,KAZ,2016,74.5877
Kenya,KEN,2016,16.6
Kiribati,KIR,2016,19.4194
Kuwait,KWT,2016,85.6
Kyrgyzstan,KGZ,2016,40.5
Laos,LAO,2016,21.87
Latin America and Caribbean (WB),WB_LAC,2016,57.5
Latvia,LVA,2016,79.8421
Lebanon,LBN,2016,76.11
Lesotho,LSO,2016,32.4539
Liberia,LBR,2016,15.7
Liechtenstein,LIE,2016,98.0939
Lithuania,LTU,2016,74.3766
Low-income countries,OWID_LIC,2016,10.0
Lower-middle-income countries,OWID_LMC,2016,21.9
Luxembourg,LUX,2016,98.1367
Macao,MAC,2016,81.643
Madagascar,MDG,2016,4.71366
Malawi,MWI,2016,6.3
Malaysia,MYS,2016,78.7883
Maldives,MDV,2016,59.5
Mali,MLI,2016,14.0
Malta,MLT,2016,78.0751
Marshall Islands,MHL,2016,29.7878
Mauritania,MRT,2016,19.2328
Mauritius,MUS,2016,52.1913
Mexico,MEX,2016,59.5404
Micronesia (country),FSM,2016,33.3522
"Middle East, North Africa, Afghanistan and Pakistan (WB)",WB_MENAP,2016,35.0
Moldova,MDA,2016,71.0
Monaco,MCO,2016,95.2082
Mongolia,MNG,2016,22.2658
Montenegro,MNE,2016,69.8816
Morocco,MAR,2016,58.2712
Mozambique,MOZ,2016,7.0
Myanmar,MMR,2016,16.0
Namibia,NAM,2016,31.0333
Nepal,NPL,2016,20.7
Netherlands,NLD,2016,90.411
New Zealand,NZL,2016,86.5
Nicaragua,NIC,2016,24.5718
Niger,NER,2016,4.32276
Nigeria,NGA,2016,24.1
North America (WB),WB_NA,2016,86.1
North Macedonia,MKD,2016,72.1568
Norway,NOR,2016,97.2982
Oman,OMN,2016,76.8454
Pakistan,PAK,2016,12.3854
Palestine,PSE,2016,59.9
Panama,PAN,2016,54.0
Papua New Guinea,PNG,2016,9.60154
Paraguay,PRY,2016,53.4041
Peru,PER,2016,45.4617
Philippines,PHL,2016,39.2
Poland,POL,2016,73.3007
Portugal,PRT,2016,70.4236
Puerto Rico,PRI,2016,68.6438
Qatar,QAT,2016,95.1247
Romania,ROU,2016,59.504
Russia,RUS,2016,73.0914
Rwanda,RWA,2016,14.6
Saint Kitts and Nevis,KNA,2016,67.0
Saint Lucia,LCA,2016,58.2226
Saint Vincent and the Grenadines,VCT,2016,51.5
Samoa,WSM,2016,31.7
Sao Tome and Principe,STP,2016,28.0
Saudi Arabia,SAU,2016,74.8793
Senegal,SEN,2016,25.6648
Serbia,SRB,2016,67.0568
Seychelles,SYC,2016,56.5147
Sierra Leone,SLE,2016,11.7732
Singapore,SGP,2016,84.4523
Slovakia,SVK,2016,80.4759
Slovenia,SVN,2016,75.4985
Solomon Islands,SLB,2016,11.0009
Somalia,SOM,2016,1.88
South Africa,ZAF,2016,54.0
South Asia (WB),WB_SA,2016,16.7
South Korea,KOR,2016,92.843
South Sudan,SSD,2016,3.5
Spain,ESP,2016,80.5613
Sri Lanka,LKA,2016,22.19
Sub-Saharan Africa (WB),WB_SSA,2016,18.3
Sudan,SDN,2016,14.1
Suriname,SUR,2016,45.4
Sweden,SWE,2016,89.6509
Switzerland,CHE,2016,89.1347
Syria,SYR,2016,31.8696
Tajikistan,TJK,2016,20.47
Tanzania,TZA,2016,13.5042
Thailand,THA,2016,47.505
Togo,TGO,2016,11.31
Tonga,TON,2016,39.95
Trinidad and Tobago,TTO,2016,67.8
Tunisia,TUN,2016,49.6
Turkey,TUR,2016,58.3477
Turkmenistan,TKM,2016,17.9903
Tuvalu,TUV,2016,31.0
Uganda,UGA,2016,5.9
Ukraine,UKR,2016,53.001
United Arab Emirates,ARE,2016,90.6
United Kingdom,GBR,2016,94.7758
United States,USA,2016,85.5444
United States Virgin Islands,VIR,2016,59.6083
Upper-middle-income countries,OWID_UMC,2016,53.3
Uruguay,URY,2016,66.4
Uzbekistan,UZB,2016,46.7913
Vanuatu,VUT,2016,24.0
Venezuela,VEN,2016,60.0
Vietnam,VNM,2016,53.0
World,OWID_WRL,2016,43.6
Yemen,YEM,2016,24.5792
Zambia,ZMB,2016,10.3
Zimbabwe,ZWE,2016,23.12
